ubigeo,departamento,provincia,distrito,n_ipress,total_atenciones,total_atendidos
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2,56366.0,22057.0
010201,AMAZONAS,BAGUA,BAGUA,4,19636.0,13447.0
010307,AMAZONAS,BONGARA,JAZAN,1,2700.0,2595.0
010401,AMAZONAS,CONDORCANQUI,NIEVA,1,27084.0,14259.0
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,2,4788.0,4788.0
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,4,24585.0,19163.0
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,1,371.0,371.0
020101,ANCASH,HUARAZ,HUARAZ,3,45928.0,45921.0
020105,ANCASH,HUARAZ,INDEPENDENCIA,1,10132.0,8490.0
020401,ANCASH,ASUNCION,CHACAS,1,907.0,907.0
020501,ANCASH,BOLOGNESI,CHIQUIAN,1,714.0,714.0
020507,ANCASH,BOLOGNESI,COLQUIOC,1,22.0,22.0
020508,ANCASH,BOLOGNESI,HUALLANCA,1,94.0,94.0
020601,ANCASH,CARHUAZ,CARHUAZ,2,13102.0,7657.0
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,3,8525.0,420.0
020801,ANCASH,CASMA,CASMA,2,30711.0,23921.0
021001,ANCASH,HUARI,HUARI,1,6175.0,3693.0
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,1,101.0,101.0
021101,ANCASH,HUARMEY,HUARMEY,2,20715.0,11062.0
021201,ANCASH,HUAYLAS,CARAZ,1,10709.0,9813.0
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,1,10354.0,3639.0
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,11.0,11.0
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,2,112.0,112.0
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,1,72.0,72.0
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,1,64.0,60.0
021501,ANCASH,PALLASCA,CABANA,1,180.0,97.0
021503,ANCASH,PALLASCA,CONCHUCOS,1,1671.0,692.0
021508,ANCASH,PALLASCA,PALLASCA,1,65.0,38.0
021509,ANCASH,PALLASCA,PAMPAS,1,97.0,56.0
021601,ANCASH,POMABAMBA,POMABAMBA,2,5600.0,5440.0
021603,ANCASH,POMABAMBA,PAROBAMBA,6,141327.0,141327.0
021604,ANCASH,POMABAMBA,QUINUABAMBA,2,125363.0,125348.0
021701,ANCASH,RECUAY,RECUAY,1,7676.0,2989.0
021801,ANCASH,SANTA,CHIMBOTE,9,368228.0,197627.0
021803,ANCASH,SANTA,COISHCO,1,31505.0,15097.0
021806,ANCASH,SANTA,NEPEÑA,1,3692.0,1879.0
021809,ANCASH,SANTA,NUEVO CHIMBOTE,4,143789.0,101294.0
021901,ANCASH,SIHUAS,SIHUAS,2,3063.0,2263.0
021902,ANCASH,SIHUAS,ACOBAMBA,1,15859.0,2970.0
021903,ANCASH,SIHUAS,ALFONSO UGARTE,1,6806.0,1093.0
021905,ANCASH,SIHUAS,CHINGALPO,2,6527.0,1903.0
021907,ANCASH,SIHUAS,QUICHES,2,59390.0,6810.0
022001,ANCASH,YUNGAY,YUNGAY,1,9725.0,9271.0
030101,APURIMAC,ABANCAY,ABANCAY,4,124686.0,49235.0
030104,APURIMAC,ABANCAY,CURAHUASI,1,5516.0,4340.0
030201,APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,4,68951.0,32933.0
030401,APURIMAC,AYMARAES,CHALHUANCA,4,54818.0,18603.0
030402,APURIMAC,AYMARAES,CAPAYA,3,11536.0,4175.0
