ubigeo,distrito,departamen,provincia,n_ipress,n_ccpp,area_km2,mean_dist_km,median_dist_km,pct_ccpp_within5km,pct_ccpp_within10km,atenciones_2024,atendidos_2025,score_baseline,rank_baseline,class_baseline,q_baseline,score_alternative,rank_alternative,class_alternative,q_alternative
100902,CODO DEL POZUZO,HUANUCO,PUERTO INCA,3,69,3221.2906970881395,10.599772303509125,8.391701112861288,21.73913043478261,53.62318840579711,,,0.07302118171683389,1780,Underserved,Q1-Underserved,0.26815855009135675,1765,Underserved,Q1-Underserved
100904,TOURNAVISTA,HUANUCO,PUERTO INCA,4,47,1739.8928528106378,6.9451810021522995,6.234665389610848,34.04255319148936,80.85106382978722,,,0.11456628477905073,1664,Underserved,Q1-Underserved,0.40436050030398296,1561,Underserved,Q1-Underserved
250305,ALEXANDER VON HUMBOLDT,UCAYALI,PADRE ABAD,2,14,205.24634817335215,2.090077784856844,2.005032167618947,92.85714285714286,100.0,,49.0,0.31135531135531136,677,Average,Q4-Above avg,0.500447368170997,976,Average,Q3-Average
250302,IRAZOLA,UCAYALI,PADRE ABAD,7,28,1875.863215626752,5.0338696961081775,4.490317385749203,57.14285714285714,89.28571428571429,,362.0,0.19368131868131866,1393,Underserved,Q2-Below avg,0.4466050324843457,1450,Underserved,Q2-Below avg
250304,NESHUYA,UCAYALI,PADRE ABAD,7,26,623.3843335877528,2.6526259517906916,2.7980777568530035,88.46153846153845,100.0,,1435.0,0.29832347140039445,796,Average,Q3-Average,0.5005382260728858,896,Average,Q3-Average
250301,PADRE ABAD,UCAYALI,PADRE ABAD,14,92,4712.969650996952,5.70940393256454,5.802901592051326,42.391304347826086,85.86956521739131,255.0,1108.0,0.14327842796352594,1559,Underserved,Q1-Underserved,0.4294890738789913,1505,Underserved,Q1-Underserved
250303,CURIMANA,UCAYALI,PADRE ABAD,6,32,1877.6515399804607,3.0045529640154194,2.875897750268179,90.625,96.875,,209.0,0.30448717948717946,739,Average,Q4-Above avg,0.484524094106037,1288,Average,Q2-Below avg
100901,PUERTO INCA,HUANUCO,PUERTO INCA,9,70,2388.7871369106006,6.790461060498651,5.434841414092979,45.714285714285715,77.14285714285715,,,0.154029304029304,1528,Underserved,Q1-Underserved,0.3858866572322204,1598,Underserved,Q1-Underserved
250106,NUEVA REQUENA,UCAYALI,CORONEL PORTILLO,8,56,2059.9526387534634,3.672521955381577,3.3946968318083917,78.57142857142857,100.0,,115.0,0.26373626373626374,1062,Average,Q3-Average,0.5001785889143996,1141,Average,Q2-Below avg
250102,CAMPOVERDE,UCAYALI,CORONEL PORTILLO,24,69,1324.5751144184558,2.755364781793926,2.308280956529518,89.85507246376811,100.0,23.0,255.0,0.30397743412362505,746,Average,Q4-Above avg,0.5008306025465673,707,Average,Q4-Above avg
160601,CONTAMANA,LORETO,UCAYALI,6,109,11002.535542093006,11.005150954753187,10.2406461376023,21.100917431192663,47.706422018348626,99078.0,4502.0,0.09201397263573917,1734,Underserved,Q1-Underserved,0.2385753840812508,1788,Underserved,Q1-Underserved
130104,HUANCHACO,LA LIBERTAD,TRUJILLO,8,21,317.5046190356477,1.4641790519243505,1.5680180393407799,100.0,100.0,132.0,1833.0,0.33823829357195523,109,Well-served,Q5-Well-served,0.5011914897221309,507,Well-served,Q4-Above avg
130207,SANTIAGO DE CAO,LA LIBERTAD,ASCOPE,3,40,136.6191232106732,2.931711377448841,2.6499971636954003,87.5,100.0,,,0.29262820512820514,857,Average,Q3-Average,0.5010046394070737,601,Average,Q4-Above avg
130110,SIMBAL,LA LIBERTAD,TRUJILLO,1,42,389.8663038473665,4.18354162026074,4.170470958500669,59.523809523809526,100.0,,,0.1987179487179487,1374,Underserved,Q2-Below avg,0.5001173504468779,1151,Average,Q2-Below avg
130204,MAGDALENA DE CAO,LA LIBERTAD,ASCOPE,1,47,161.16549215899434,4.369625378909373,4.176590670492946,72.3404255319149,93.61702127659575,,,0.24140752864157122,1193,Average,Q2-Below avg,0.4683689821951406,1359,Underserved,Q2-Below avg
130203,CHOCOPE,LA LIBERTAD,ASCOPE,3,21,99.53006198593148,2.2704617179316764,2.2030302038653677,100.0,100.0,111496.0,34091.0,0.38236560725323415,41,Well-served,Q5-Well-served,0.5020992501863331,286,Well-served,Q5-Well-served
130205,PAIJAN,LA LIBERTAD,ASCOPE,2,43,82.47185592564618,2.6440493892424213,2.595096703042988,97.67441860465115,100.0,87.0,900.0,0.3262329442056208,506,Well-served,Q4-Above avg,0.501118779328408,546,Well-served,Q4-Above avg
130613,SINSICAP,LA LIBERTAD,OTUZCO,3,92,455.02007405287463,3.7609020820893053,2.9144748928187596,81.52173913043478,93.47826086956522,,,0.27215719063545146,1006,Average,Q3-Average,0.4676929458857802,1362,Underserved,Q2-Below avg
130202,CHICAMA,LA LIBERTAD,ASCOPE,2,34,900.33897187409,3.4948111258558434,3.7428618337151005,73.52941176470588,100.0,350.0,2080.0,0.2460744407897469,1171,Average,Q2-Below avg,0.5001287725434679,1150,Average,Q2-Below avg
130206,RAZURI,LA LIBERTAD,ASCOPE,1,52,312.08517127867714,4.068928920315537,3.7853645477203894,75.0,98.07692307692307,,,0.25024654832347143,1140,Average,Q2-Below avg,0.4905312131380159,1244,Average,Q2-Below avg
