ubigeo,distrito,departamen,score_baseline,rank_baseline,class_baseline,score_alternative,rank_alternative,class_alternative,rank_change,class_flipped
100902,CODO DEL POZUZO,HUANUCO,0.07302118171683389,1780,Underserved,0.26815855009135675,1765,Underserved,-15,False
100904,TOURNAVISTA,HUANUCO,0.11456628477905073,1664,Underserved,0.40436050030398296,1561,Underserved,-103,False
250305,ALEXANDER VON HUMBOLDT,UCAYALI,0.31135531135531136,677,Average,0.500447368170997,976,Average,299,False
250302,IRAZOLA,UCAYALI,0.19368131868131866,1393,Underserved,0.4466050324843457,1450,Underserved,57,False
250304,NESHUYA,UCAYALI,0.29832347140039445,796,Average,0.5005382260728858,896,Average,100,False
250301,PADRE ABAD,UCAYALI,0.14327842796352594,1559,Underserved,0.4294890738789913,1505,Underserved,-54,False
250303,CURIMANA,UCAYALI,0.30448717948717946,739,Average,0.484524094106037,1288,Average,549,False
100901,PUERTO INCA,HUANUCO,0.154029304029304,1528,Underserved,0.3858866572322204,1598,Underserved,70,False
250106,NUEVA REQUENA,UCAYALI,0.26373626373626374,1062,Average,0.5001785889143996,1141,Average,79,False
250102,CAMPOVERDE,UCAYALI,0.30397743412362505,746,Average,0.5008306025465673,707,Average,-39,False
160601,CONTAMANA,LORETO,0.09201397263573917,1734,Underserved,0.2385753840812508,1788,Underserved,54,False
130104,HUANCHACO,LA LIBERTAD,0.33823829357195523,109,Well-served,0.5011914897221309,507,Well-served,398,False
130207,SANTIAGO DE CAO,LA LIBERTAD,0.29262820512820514,857,Average,0.5010046394070737,601,Average,-256,False
130110,SIMBAL,LA LIBERTAD,0.1987179487179487,1374,Underserved,0.5001173504468779,1151,Average,-223,True
130204,MAGDALENA DE CAO,LA LIBERTAD,0.24140752864157122,1193,Average,0.4683689821951406,1359,Underserved,166,True
130203,CHOCOPE,LA LIBERTAD,0.38236560725323415,41,Well-served,0.5020992501863331,286,Well-served,245,False
130205,PAIJAN,LA LIBERTAD,0.3262329442056208,506,Well-served,0.501118779328408,546,Well-served,40,False
130613,SINSICAP,LA LIBERTAD,0.27215719063545146,1006,Average,0.4676929458857802,1362,Underserved,356,True
130202,CHICAMA,LA LIBERTAD,0.2460744407897469,1171,Average,0.5001287725434679,1150,Average,-21,False
